ID;C1;C2;R1;R2;R3;R4;R5;R6;R7;M1;M2
369;12373;3755;3398;1657;607;2245;4280;674;3618;3837;751
370;12310;3872;1713;930;1042;2389;4176;226;3737;4837;770
371;12364;3889;1215;433;1295;2238;3741;113;3983;5029;888
372;11413;4056;921;230;1721;2303;4025;104;4071;5381;937
373;11159;4875;1169;147;1884;2545;4271;75;4015;5477;962
374;10417;2671;884;18;2246;2576;4669;188;3734;5189;988
375;10272;3322;1034;55;2645;2567;4252;1318;3671;4221;887
376;11168;4020;1473;138;2618;2665;4905;2665;3841;4603;854
377;9783;4272;2072;184;2754;2581;4735;2938;4035;5403;879
378;9538;4875;2118;313;2708;2616;4735;3606;4224;5584;836
379;8967;5455;2109;350;2853;2580;5038;3588;4348;6224;731
380;11558;6904;1786;534;2808;2386;5199;3729;4165;6773;561
381;16839;7626;1971;396;3080;2049;4848;3776;4140;7413;479
382;21531;8318;1842;737;2944;2049;5227;3682;4192;8843;363
383;26531;8551;1694;727;2591;1970;5947;4341;4308;9408;372
384;28288;7715;1878;847;2871;2072;5947;4324;4108;9803;313
385;26893;7430;1980;820;2482;2269;6316;5121;4817;9301;266
386;25707;5810;1945;967;3016;2532;6345;5137;5414;8096;329
387;22880;4102;2159;1151;3424;2727;6269;5917;5171;5733;410
388;20743;4497;3223;1409;2899;2928;5805;5794;5627;5691;540
389;16404;4987;4825;1519;3043;3055;6080;6535;5856;6763;661
390;13868;5303;4696;1703;3361;3085;5777;5650;6171;6683;841
391;12038;5681;4779;1584;3678;3078;5559;2528;6510;6971;902
392;11259;5954;4751;1501;2310;3434;5350;1045;6525;6944;967
393;10851;6198;4715;1059;1703;3452;6430;631;6402;7445;1054
394;11250;6084;4236;617;1612;3545;6203;320;6763;7728;1095
395;11803;5896;4088;285;1594;3707;6705;358;6646;8155;1165
396;11694;5896;3794;184;1793;3859;6203;217;6658;8677;1252
397;11350;6058;3628;110;2337;3847;7017;179;6519;8299;1366
398;11703;4297;3554;157;3016;3811;7027;146;6143;8272;1439
399;10553;4439;3978;221;3225;3988;6837;682;5871;7099;1520
400;10996;4993;3895;368;3696;3985;7576;1987;5866;7355;1666
401;10317;5124;4227;645;3759;5187;6610;2684;6369;7291;1838
